article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
"US left Afghan airfield at night, didn't tell new commander",https://www.msn.com/en-us/news/world/us-left-afghan-airfield-at-night-didnt-tell-new-commander/ar-AALNWs5?ocid=BingNews,Top stories,Associated Press,Unavailable,31m,1.0,False,False
Feds warned last spring of spike in violence and extremism during pandemic: Memo,https://www.msn.com/en-us/news/us/feds-warned-last-spring-of-spike-in-violence-and-extremism-during-pandemic-memo/ar-AALNzNF?ocid=BingNews,Top stories,ABC News,Unavailable,51m,2.0,False,False
"Bitcoin mining is turning a New York lake into a 'hot tub,' says a local. Here's how.",https://www.msn.com/en-us/news/us/bitcoin-mining-is-turning-a-new-york-lake-into-a-hot-tub-says-a-local-heres-how/ar-AALMCrk?ocid=BingNews,Top stories,NBC News,Unavailable,9h,3.0,False,False
3 more bodies found after remaining section of Florida condo complex demolished; death toll at 27,https://www.msn.com/en-us/news/us/3-more-bodies-found-after-remaining-section-of-florida-condo-complex-demolished-death-toll-at-27/ar-AALNnP4?ocid=BingNews,Top stories,USA TODAY,Unavailable,28m,4.0,False,False
"Violent July Fourth results in dozens shot, several killed",https://www.msn.com/en-us/news/crime/violent-july-fourth-results-in-dozens-shot-several-killed/ar-AALNycv?ocid=BingNews,Top stories,FOX News,Unavailable,2h,5.0,False,False
Should vaccinated people continue to wear masks? Not everyone agrees.,https://www.msn.com/en-us/news/us/should-vaccinated-people-continue-to-wear-masks-not-everyone-agrees/ar-AALMzJB?ocid=BingNews,Top stories,NBC News,Unavailable,9h,6.0,False,False
"In ramp-up to 2022 midterms, Republican candidates center pitches on Trump’s false election claims",https://www.msn.com/en-us/news/politics/in-ramp-up-to-2022-midterms-republican-candidates-center-pitches-on-trump-s-false-election-claims/ar-AALMSSR?ocid=BingNews,Top stories,The Washington Post,Unavailable,14h,7.0,False,False
"180,000 Cubans flee their homes as Tropical Storm Elsa roars toward Florida's Gulf Coast",https://www.msn.com/en-us/weather/topstories/180000-cubans-flee-their-homes-as-tropical-storm-elsa-roars-toward-floridas-gulf-coast/ar-AALNvsg?ocid=BingNews,Top stories,USA TODAY,Unavailable,19m,8.0,False,False
Man dies in fireworks accident after mortar shell explodes next to him,https://www.msn.com/en-us/news/crime/man-dies-in-fireworks-accident-after-mortar-shell-explodes-next-to-him/ar-AALN0NY?ocid=BingNews,Top stories,ABC News,Unavailable,2h,9.0,False,False
"After controlled demolition, what remained of the Surfside condo is leveled",https://www.msn.com/en-us/news/us/after-controlled-demolition-what-remained-of-the-surfside-condo-is-leveled/ar-AALLZxI?ocid=BingNews,Top stories,The Washington Post,Unavailable,15h,10.0,False,False
One person killed on ride at Iowa amusement park,https://www.msn.com/en-us/news/us/one-person-killed-on-ride-at-iowa-amusement-park/ar-AALNdXM?ocid=BingNews,Top stories,CBS News,Unavailable,3h,11.0,False,False
"More than 1,000 Afghan soldiers flee into Tajikistan as Taliban extends control, Tajik officials say",https://www.msn.com/en-us/news/world/more-than-1000-afghan-soldiers-flee-into-tajikistan-as-taliban-extends-control-tajik-officials-say/ar-AALNvYg?ocid=BingNews,Top stories,The Washington Post,Unavailable,1h,12.0,False,False
Panthers spending an average amount on offensive line for 2021 NFL season,https://www.msn.com/en-us/sports/nfl/panthers-spending-an-average-amount-on-offensive-line-for-2021-nfl-season/ar-AALNDMp?ocid=BingNews,Sports,Panthers Wire,Unavailable,1h,1.0,False,False
Julio Jones tops Gil Brandt's list of best players traded this offseason,https://www.msn.com/en-us/sports/nfl/julio-jones-tops-gil-brandts-list-of-best-players-traded-this-offseason/ar-AALNJsW?ocid=BingNews,Sports,Titans Wire,Unavailable,1h,2.0,False,False
"Nico Hoerner is back for the Chicago Cubs, but he can’t solve all their offensive woes. ‘He just needs to be himself,’ says manager David Ross.",https://www.msn.com/en-us/sports/mlb/nico-hoerner-is-back-for-the-chicago-cubs-but-he-can-t-solve-all-their-offensive-woes-he-just-needs-to-be-himself-says-manager-david-ross/ar-AALNw0g?ocid=BingNews,Sports,Chicago Tribune,Unavailable,1h,3.0,False,False
Houston Texans 2022 NFL draft target: South Carolina DE Kingsley Enagbare,https://www.msn.com/en-us/sports/nfl/houston-texans-2022-nfl-draft-target-south-carolina-de-kingsley-enagbare/ar-AALNw97?ocid=BingNews,Sports,Texans Wire,Unavailable,1h,4.0,False,False
UFC 264: Make your predictions for Dustin Poirier vs. Conor McGregor 3,https://www.msn.com/en-us/sports/other/ufc-264-make-your-predictions-for-dustin-poirier-vs-conor-mcgregor-3/ar-AALNyoi?ocid=BingNews,Sports,MMAJunkie,Unavailable,1h,5.0,False,False
Steelers HC Mike Tomlin 'heartbroken' over James Conner signing with Cardinals,https://www.msn.com/en-us/sports/nfl/steelers-hc-mike-tomlin-heartbroken-over-james-conner-signing-with-cardinals/ar-AALNytP?ocid=BingNews,Sports,Cardinals Wire,Unavailable,1h,6.0,False,False
Trevor Lawrence signs rookie contract with Jacksonville Jaguars,https://www.msn.com/en-us/sports/nfl/trevor-lawrence-signs-rookie-contract-with-jacksonville-jaguars/ar-AALNAxd?ocid=BingNews,Sports,Touchdown Wire,Unavailable,1h,7.0,False,False
"The Match 4 live stream: Time, TV schedule and how to watch online",https://www.msn.com/en-us/sports/golf/the-match-4-live-stream-time-tv-schedule-and-how-to-watch-online/ar-AALNDh3?ocid=BingNews,Sports,Patriots Wire,Unavailable,1h,8.0,False,False
Maurice Jones-Drew ranks Colts' Jonathan Taylor at No. 11,https://www.msn.com/en-us/sports/nfl/maurice-jones-drew-ranks-colts-jonathan-taylor-at-no-11/ar-AALNnYq?ocid=BingNews,Sports,Colts Wire,Unavailable,4h,9.0,False,False
"Copa America 2021: Brazil vs Peru Kickoff Time, How to Watch on TV and Online",https://www.msn.com/en-us/sports/soccer/copa-america-2021-brazil-vs-peru-kickoff-time-how-to-watch-on-tv-and-online/ar-AALNqoQ?ocid=BingNews,Sports,Newsweek,Unavailable,2h,10.0,False,False
"Terry Donahue coached Troy Aikman at UCLA, almost again with Cowboys",https://www.msn.com/en-us/sports/nfl/terry-donahue-coached-troy-aikman-at-ucla-almost-again-with-cowboys/ar-AALNuQZ?ocid=BingNews,Sports,Cowboys Wire,Unavailable,3h,11.0,False,False
Rachel Nichols’ comments about Maria Taylor are latest example of how ESPN screws over its Black employees,https://www.msn.com/en-us/sports/more-sports/rachel-nichols-comments-about-maria-taylor-are-latest-example-of-how-espn-screws-over-its-black-employees/ar-AALNBkH?ocid=BingNews,Sports,Deadspin,Unavailable,1h,12.0,False,False
Steady term of the Supreme Court ends with politically fraught cases that reveal divisions,https://www.msn.com/en-us/news/us/steady-term-of-the-supreme-court-ends-with-politically-fraught-cases-that-reveal-divisions/ar-AALN7xI?ocid=BingNews,U.S.,USA TODAY,Unavailable,6h,1.0,False,False
"Denver auditor: City should have accounted for jail expansion being over budget, over time",https://www.msn.com/en-us/news/us/denver-auditor-city-should-have-accounted-for-jail-expansion-being-over-budget-over-time/ar-AALNh6M?ocid=BingNews,U.S.,Denver Post,Unavailable,6h,2.0,False,False
"Over $100K Raised for Volleyball Player Deven Gonzalez, Her Family After Surfside Collapse",https://www.msn.com/en-us/news/world/over-100k-raised-for-volleyball-player-deven-gonzalez-her-family-after-surfside-collapse/ar-AALNqoK?ocid=BingNews,U.S.,Newsweek,Unavailable,2h,3.0,False,False
