article_url,article_title,meta_description,section,authors,publish_date,modified_date,canonical_link,top_image,is_opinion
https://www.msn.com/en-us/news/politics/last-ditch-effort-to-salvage-cryptocurrency-tax-deal-underway-in-senate/ar-AAN7gpC?ocid=Peregrine,Last-ditch effort to salvage cryptocurrency tax fails in Senate,,,[],2021-08-09 00:00:00,,https://www.politico.com/news/2021/08/09/cryptocurrency-tax-deal-senate-502833,https://static.politico.com/62/28/5f57497f47e48e70fe1d1b7d9657/07302021-portman-infrastructure-ap-773.jpg,false
https://www.msn.com/en-us/news/us/pentagon-to-mandate-vaccination-for-service-members-pediatric-hospitals-fill-up-as-kids-go-back-to-school-covid-19-updates/ar-AAN5Rid?ocid=Peregrine,"Pentagon to mandate vaccination for service members; CDC advises against travel to France, Israel: Today's COVID-19 updates",Children's hospitals are starting to fill up as schools get ready to allow students back into the classroom this fall. Latest COVID-19 news.,,[],2021-08-09 00:00:00,,https://www.usatoday.com/story/news/health/2021/08/09/covid-vaccines-delta-pediatric-children-cdc/5532551001/,"https://www.gannett-cdn.com/presto/2021/08/08/USAT/8d339817-1297-4f30-ba8a-65780a0dc003-AP21199760321637.jpg?crop=5786,3255,x0,y598&width=3200&height=1801&format=pjpg&auto=webp",false
https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=-q8KwvpFW8BQxVf2Afu3pKq5HIsN4J6FWH-KOwYYRCk&evt=102&rid=f1feba8f28644f4d0d490cbef4d4e04e&campaignid=1025772&impid=vlp-infopane-3&offerid=1935181&test=0&time=1628536587&cp=y4cMTnjRYBzz_ZNNe97Do9VAD9dACwuWdekfCdXiSok&clickid=21_f1feba8f28644f4d0d490cbef4d4e04e_vlp-infopane-3&acid=264&trackingid=46abf691c1f2f9eacdcf13499935efdd&uid=3AD07A8F409F63D30F4C6A01414162A4&jt=2&url=PNJWVhzrC1ZX1a33KBwcdRaR_0JFx4FbOevwdqNWvNqFkeJaUoE1RPCEQa-z9MPdNcXODOg64o1qCnyMJhJpIbpS9p8Yw9wagIKLmhyt7ZrXP8AcMSgF8gMloGd6bCjm8KnjPaDwncADssdsZz5pPOxopjIVfzT0rDxUIl9q7aFzvBeKHvRrvQ64E3b3y--1PAwp1LEj_GGVl8WbsyZwU45q0J1U_EBWVZblUiob2a6t3ibe0ut-VfdDlaplpC9lYsRYDezOfLtzM8L0momU0kJjJowftNoo1GKctDaiw-HH16T0admq52wo-6OkKCMTSqa0Z5rTZdpr9M0wVIqQfPylUAGoHQ-fcs-FIDcvmWo&bm=5&la=en&cn=us&cid=1056527&info=8wzA6i_c35lbliGWtLRfFmX3Mrq09ggpcaQ2J79x8GnkEWjRuWgMHgm09PobwvdA2CtsTqcjJhMLSTRNr8pd_w,,,,[],,,,,
https://www.msn.com/en-us/news/politics/it-s-time-to-end-the-us-steel-and-aluminum-tariffs/ar-AAN7tJB?ocid=Peregrine,It's time to end the US steel and aluminum tariffs,"After four years of Trump’s trade chaos, TPA is the single best way to signal to other nations that the U.S. is open for business.",,[],2021-08-09 15:00:08-04:00,2021-08-09T15:00:01-04:00,https://thehill.com/opinion/national-security/566969-its-time-to-end-the-us-steel-and-aluminum-tariffs,https://thehill.com/sites/default/files/aluminum_tariffs_06062018.jpg,
https://www.msn.com/en-us/news/politics/what-s-in-the-senate-reconciliation-package/ar-AAN7kje?ocid=Peregrine,What's in the Senate reconciliation package,"Senate Democrats released their sweeping $3.5 trillion budget resolution on Monday -- the latest step in their drive to expand education, health care and child care support, tackle the climate crisis and make further investments in infrastructure.",politics,['Tami Luhand Katie Lobosco'],2021-08-09 00:00:00,2021-08-09T18:56:50Z,https://www.cnn.com/2021/08/09/politics/senate-reconciliation-package/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210809102746-school-dropoff-stock-super-tease.jpg,false
https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=AI3EpAK4z4m4IIptaV_iHp7D07IB1Mi6WeaYZEmaBs4&evt=102&rid=f1feba8f28644f4d0d490cbef4d4e04e&campaignid=1018328&impid=vlp-infopane-6&offerid=1645877&test=0&time=1628536587&cp=PzJLvj2QPzUB3qxCNPIo2SaNQMNL9UpZ2OMDOmEAUa4&clickid=21_f1feba8f28644f4d0d490cbef4d4e04e_vlp-infopane-6&acid=19&trackingid=0745594981c434d6ef2a2e7b35460713&uid=3AD07A8F409F63D30F4C6A01414162A4&jt=2&url=PvCUAWXGxCEtrn94YAr0RHyKem7j-3VTuIlxxKSI82cP1-IwZhAjremsTKgdaD8cV0L1vxltoM_tLIxPtCM6YgJp1nmbuoIGJnv2qQ8Jo2cBCjRJJtOdtGdchvJ_eXj7fzRQJBjahT9doE3lLakoJMUK_FECr8i3AV_qA43kqbkJFjR5PrDFp9Vvw3T1lFQ9zjlOIzY0ui8dbEc1p--Oo-quZPnGq6HaDrwOpgw8AuTUVPYNSaNFFvKF1BnwDI7RIdXfTxQclTxKGE6yO8qOg9qdzBfWFXBG8R4qw3Qu66-B9IX-3SkkA-qXd4R-_0S-2HX13cKsW9TMi2o2h9jid3OqxiN0SF0v-20NmZJ9e3hGG7ff0LjqtnyS-8LegNSY77TKzAkVYGt-sVY3jpjOAg&bm=2&la=en&cn=us&cid=1042281&info=ApglYyDLtgWwFtI00y8yXLuW3ptMOXAJ59UmoBizIpFV67K_gLrXNTgF17uSLN4WuUf20LZJtiBuRL4QthUjrQ,,,,[],,,,,
https://www.msn.com/en-us/news/technology/wildfire-season-what-to-know-about-this-year-s-raging-fires/ar-AAKrulv?ocid=Peregrine,Wildfire season: What to know about this year's raging fires,The Dixie wildfire is the largest in the US so far this year.,,['Megan Wollerton'],,,https://www.cnet.com/home/energy-and-utilities/wildfire-season-what-to-know-about-this-years-raging-fires/,https://www.cnet.com/a/img/NNRHn-Ls0Ext-1wV0l8Cn5pgEYM=/1200x630/2021/07/07/e8fc8c5d-d61f-4b4e-86ff-9be199a5d14f/gettyimages-1281624333.jpg,false
https://www.msn.com/en-us/news/politics/pentagon-to-require-covid-vaccines-for-all-service-members/ar-AAN7hGa?ocid=Peregrine,Pentagon to require COVID vaccines for all service members,The Pentagon will require COVID-19 vaccinations for all U.S. military service members.,,"['Abc News', 'Luis Martinez', 'Matt Seyler', 'August']",,,https://abcnews.go.com/Politics/pentagon-require-mandatory-covid-vaccines-mid-september-source/story?id=79314193,https://s.abcnews.com/images/International/us-military-vaccine-ht-rc-210809_1628528859611_hpMain_16x9_992.jpg,false
https://www.msn.com/en-us/news/world/millennial-plant-moms-are-being-blamed-for-illegal-succulent-poaching-across-africa/ar-AAN7oAM?ocid=Peregrine,Millennial 'plant moms' are being blamed for illegal succulent poaching across Africa,Social media's obsession with houseplants may be fueling a black market for succulents as South Africa faces a surge in illegal plant poaching.,,['Hannah Towey'],2021-08-09 00:00:00,2021-08-09T18:40:50Z,https://www.businessinsider.com/millennial-plant-moms-blamed-for-illegal-succulent-trade-in-africa-2021-8,https://i.insider.com/61084ae5372268001a5946f0?width=1200&format=jpeg,false
https://www.msn.com/en-us/news/us/austin-activates-emergency-system-as-coronavirus-cases-hospitalizations-surge/ar-AAN7qQ3?ocid=Peregrine,"Austin Activates Emergency System as Coronavirus Cases, Hospitalizations Surge","The emergency notification follows the city elevating the COVID-19 risk level to stage five, the highest level.",,"['Alexa Lardieri', 'Aug.', 'At P.M.']",2021-08-09 00:00:00,,https://www.usnews.com/news/health-news/articles/2021-08-09/austin-activates-emergency-system-as-coronavirus-cases-hospitalizations-surge,https://www.usnews.com/dims4/USNEWS/b994880/2147483647/thumbnail/970x647/quality/85/?url=http%3A%2F%2Fmedia.beam.usnews.com%2Fb7%2F25%2Ff181df884de6b38293b2151af7a2%2F210809-texas-editorial.jpg,
