article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
Biden going to Michigan to pitch his infrastructure package,https://www.msn.com/en-us/news/politics/biden-going-to-michigan-to-pitch-his-infrastructure-package/ar-AALJrU3?ocid=BingNews,Top stories,Associated Press,Unavailable,33m,1.0,False,False
"Death toll rises to 22 in Florida condo collapse; another Florida condo building deemed unsafe, evacuation ordered",https://www.msn.com/en-us/news/us/death-toll-rises-to-22-in-florida-condo-collapse-another-florida-condo-building-deemed-unsafe-evacuation-ordered/ar-AALHMD6?ocid=BingNews,Top stories,USA TODAY,Unavailable,45m,2.0,False,False
U.S. to facilitate return of deported veterans,https://www.msn.com/en-us/news/us/us-to-facilitate-return-of-deported-veterans/ar-AALIrpb?ocid=BingNews,Top stories,CBS News,Unavailable,12h,3.0,False,False
Rally calls on defending voter rights and DC statehood,https://www.msn.com/en-us/news/us/rally-calls-on-defending-voter-rights-and-dc-statehood/ar-AALJqe0?ocid=BingNews,Top stories,NBC News,Unavailable,29m,4.0,False,False
Demolition of rest of collapsed Miami building could start Sunday,https://www.msn.com/en-us/news/us/demolition-of-rest-of-collapsed-miami-building-could-start-sunday/ar-AALJyY7?ocid=BingNews,Top stories,NBC News,Unavailable,21m,5.0,False,False
Hurricane Elsa moving quickly across eastern Caribbean Sea,https://www.msn.com/en-us/weather/topstories/hurricane-elsa-moving-quickly-across-eastern-caribbean-sea/ar-AALJ7a8?ocid=BingNews,Top stories,ABC News,Unavailable,3h,6.0,False,False
"Hours-long standoff between police, heavily armed men in Massachusetts ends with 9 arrests",https://www.msn.com/en-us/news/us/hours-long-standoff-between-police-heavily-armed-men-in-massachusetts-ends-with-9-arrests/ar-AALJwE1?ocid=BingNews,Top stories,The Washington Post,Unavailable,1h,7.0,False,False
Ransomware attack on software manager hits 200 companies,https://www.msn.com/en-us/news/us/ransomware-attack-on-software-manager-hits-200-companies/ar-AALIkcg?ocid=BingNews,Top stories,NBC News,Unavailable,3h,8.0,False,False
Ghislaine Maxwell's lawyers cite Cosby case in bid to have sex trafficking charges dropped,https://www.msn.com/en-us/news/crime/ghislaine-maxwells-lawyers-cite-cosby-case-in-bid-to-have-sex-trafficking-charges-dropped/ar-AALJFir?ocid=BingNews,Top stories,NBC News,Unavailable,2h,9.0,False,False
Police say criminal investigation of Dodgers pitcher Trevor Bauer 'bigger than we thought',https://www.msn.com/en-us/sports/mlb/police-say-criminal-investigation-of-dodgers-pitcher-trevor-bauer-bigger-than-we-thought/ar-AALI2SZ?ocid=BingNews,Top stories,USA TODAY SPORTS,Unavailable,10h,10.0,False,False
Plans for demolition of remaining condo structure being finalized as toll rises,https://www.msn.com/en-us/news/us/plans-for-demolition-of-remaining-condo-structure-being-finalized-as-toll-rises/ar-AALJrpE?ocid=BingNews,Top stories,CBS News,Unavailable,2h,11.0,False,False
US leaves main base in Afghanistan as pullout now set to end in late August,https://www.msn.com/en-us/news/world/us-leaves-main-base-in-afghanistan-as-pullout-now-set-to-end-in-late-august/ar-AALJn3L?ocid=BingNews,Top stories,ABC News,Unavailable,16h,12.0,False,False
Giants have this homefield advantage in Madden NFL 22,https://www.msn.com/en-us/sports/nfl/giants-have-this-homefield-advantage-in-madden-nfl-22/ar-AALJNjm?ocid=BingNews,Sports,Giants Wire,Unavailable,45m,1.0,False,False
Can Texans CB Keion Crossen take the next step in 2021?,https://www.msn.com/en-us/sports/nfl/can-texans-cb-keion-crossen-take-the-next-step-in-2021/ar-AALJIUn?ocid=BingNews,Sports,Texans Wire,Unavailable,37m,2.0,False,False
"Look: Micah Kiser, Nick Scott training with Aaron Rodgers in Malibu",https://www.msn.com/en-us/sports/nfl/look-micah-kiser-nick-scott-training-with-aaron-rodgers-in-malibu/ar-AALJCW6?ocid=BingNews,Sports,Rams Wire,Unavailable,2h,3.0,False,False
"Steelers 2021 schedule: Downloadable mobile, desktop wallpaper",https://www.msn.com/en-us/sports/nfl/steelers-2021-schedule-downloadable-mobile-desktop-wallpaper/ar-AALJN8x?ocid=BingNews,Sports,Steelers Wire,Unavailable,58m,4.0,False,False
"UFC 264 flashback videos: See how Conor McGregor, Dustin Poirier have evolved on camera the past decade",https://www.msn.com/en-us/sports/mma_ufc/ufc-264-flashback-videos-see-how-conor-mcgregor-dustin-poirier-have-evolved-on-camera-the-past-decade/ar-AALJMLP?ocid=BingNews,Sports,MMAJunkie,Unavailable,1h,5.0,False,False
Best available free agents who could fill Titans' remaining needs,https://www.msn.com/en-us/autos/news/best-available-free-agents-who-could-fill-titans-remaining-needs/ar-AALJGce?ocid=BingNews,Sports,Titans Wire,Unavailable,1h,6.0,False,False
Staff picks: College football legends who would have raked in endorsement deals if NIL rules were in place,https://www.msn.com/en-us/sports/nfl/staff-picks-college-football-legends-who-would-have-raked-in-endorsement-deals-if-nil-rules-were-in-place/ar-AALJB6c?ocid=BingNews,Sports,CBS Sports,Unavailable,2h,7.0,False,False
"The Mize Plan is officially under way. If it works, the Tigers rookie will still be pitching in September.",https://www.msn.com/en-us/sports/mlb/the-mize-plan-is-officially-under-way-if-it-works-the-tigers-rookie-will-still-be-pitching-in-september/ar-AALJyAx?ocid=BingNews,Sports,MLive - GrandRapids/Muskegon/Kalamazoo,Unavailable,59m,8.0,False,False
Bruce Allen indirectly benefits from lack of WFT transparency,https://www.msn.com/en-us/sports/nfl/bruce-allen-indirectly-benefits-from-lack-of-wft-transparency/ar-AALJFZO?ocid=BingNews,Sports,NBC Sports,Unavailable,2h,9.0,False,False
Anthony Davis Won't Follow LeBron James With Jersey Number Change,https://www.msn.com/en-us/sports/nba/anthony-davis-wont-follow-lebron-james-with-jersey-number-change/ar-AALJEaT?ocid=BingNews,Sports,The Big Lead,Unavailable,14m,10.0,False,False
Latest on Yankees’ Clint Frazier’s vertigo diagnosis,https://www.msn.com/en-us/sports/mlb/latest-on-yankees-clint-frazier-s-vertigo-diagnosis/ar-AALJGSy?ocid=BingNews,Sports,NJ.com,Unavailable,28m,11.0,False,False
Dodgers’ Joe Kelly wears mariachi jacket to White House,https://www.msn.com/en-us/sports/mlb/dodgers-joe-kelly-wears-mariachi-jacket-to-white-house/ar-AALJNF3?ocid=BingNews,Sports,Deadspin,Unavailable,30m,12.0,False,False
Watch Live: Officials give update on condo building collapse,https://www.msn.com/en-us/news/us/watch-live-officials-give-update-on-condo-building-collapse/ar-AALJrpE?ocid=BingNews,U.S.,CBS News,Unavailable,2h,1.0,False,False
How Oregon underwear company Arq became an Instagram hit during pandemic lockdown,https://www.msn.com/en-us/lifestyle/lifestyle-buzz/how-oregon-underwear-company-arq-became-an-instagram-hit-during-pandemic-lockdown/ar-AALJrrc?ocid=BingNews,U.S.,OregonLive.com,Unavailable,2h,2.0,False,False
"Lorain man found dead in street, police say",https://www.msn.com/en-us/news/crime/lorain-man-found-dead-in-street-police-say/ar-AALJhmX?ocid=BingNews,U.S.,The Plain Dealer Cleveland,Unavailable,3h,3.0,False,False
‘This isn't the Olympics’: GOP transgender laws head to court,https://www.msn.com/en-us/news/us/this-isn-t-the-olympics-gop-transgender-laws-head-to-court/ar-AALJ1cc?ocid=BingNews,U.S.,POLITICO,Unavailable,5h,4.0,False,False
"US coronavirus: Spread of the Delta variant may make it even harder to reach herd immunity, expert says",https://www.msn.com/en-us/health/medical/us-coronavirus-spread-of-the-delta-variant-may-make-it-even-harder-to-reach-herd-immunity-expert-says/ar-AALIWIP?ocid=BingNews,U.S.,CNN,Unavailable,8h,5.0,False,False
2021 Rocket Mortgage Classic: Live leaderboard and updates from third round,https://www.msn.com/en-us/sports/golf/2021-rocket-mortgage-classic-live-leaderboard-and-updates-from-third-round/ar-AALJ0wc?ocid=BingNews,U.S.,Detroit Free Press,Unavailable,6h,6.0,False,False
'Proud' to be American? Students struggle to answer,https://www.msn.com/en-us/news/us/proud-to-be-american-students-struggle-to-answer/ar-AALJtMZ?ocid=BingNews,U.S.,FOX News,Unavailable,2h,7.0,False,False
