article_url,article_title,meta_description,section,authors,publish_date,modified_date,canonical_link,top_image,is_opinion
https://news.google.com/articles/CAIiEGz_2gIV0ko0vrevifuiZaIqFwgEKg8IACoHCAowjuuKAzCWrzww9oEY?hl=en-US&gl=US&ceid=US%3Aen,U.S. War in Afghanistan Ends as Final Evacuation Flights Depart,"The last U.S. military plane left Kabul Monday night, ending a presence that spanned two decades but failed to defeat the Taliban and left behind tens of thousands of Afghans.",World,"['Adam Nossiter', 'Eric Schmitt']",2021-08-30 23:17:58+00:00,2021-08-31T12:13:14.000Z,https://www.nytimes.com/2021/08/30/world/asia/afghanistan-us-occupation-ends.html,https://static01.nyt.com/images/2021/08/30/world/30Afghanistan-Ledeall-LEDE/30Afghanistan-Ledeall-LEDE-facebookJumbo.jpg,false
https://news.google.com/articles/CAIiEPvVtPtf4rqC89dGIjV3vtQqGQgEKhAIACoHCAowwL2ICzCckocDMMaPqQY?hl=en-US&gl=US&ceid=US%3Aen,Biden breaks promise to 'stay' in Afghanistan until every American evacuated,"President Biden appears to have broken his promise to stay in Afghanistan until every American is evacuated after Marine Corps Gen. Kenneth F. McKenzie Jr. announced Monday evening that the last of the U.S. troops stationed at the Kabul airport had left, completing the military’s drawdown in the country even though hundreds of Americans likely remain.",,['Jessica Chasmar'],,2021-08-30T21:23:23-04:00,https://www.foxnews.com/politics/biden-breaks-promise-stay-afghanistan-every-american-evacuated,https://static.foxnews.com/foxnews.com/content/uploads/2021/08/AP21228746281121.jpg,false
https://news.google.com/articles/CAIiEEWHDh04GSeAre8F_PIGfQQqGQgEKhAIACoHCAownvOTCzCHjqkDMLa6lAc?hl=en-US&gl=US&ceid=US%3Aen,"Last U.S. troops leave Afghanistan, ending the United States’ longest war","After nearly 20 years, the last American troops have left Afghanistan, concluding the United States’ longest war and the largest noncombatant evacuation mission in U.S. military history.",,[],,,https://news.yahoo.com/last-us-troops-leave-afghanistan-ending-americas-longest-war-205835898.html,https://s.yimg.com/ny/api/res/1.2/qJ6Y3azaNwNMgUlBOGD6qg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2021-08/951a1330-09d9-11ec-9db7-e057bcc0f32c,
https://news.google.com/articles/CAIiEGDO1Y6TUYpevKPIKyodPtIqGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-US&gl=US&ceid=US%3Aen,Opinion : America is leaving thousands of people behind in Afghanistan. This is a moral disaster.,The Biden administration must use its leverage until every Afghan deserving of refuge has found it.,The Post's View,[],2021-08-30 21:56:18.724000+00:00,2021-08-30T22:55:54.101Z,https://www.washingtonpost.com/opinions/2021/08/30/evacuation-may-be-ending-americas-responsibility-afghan-friends-left-behind-is-not/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/AZFJS4QJPII6ZJ6IMG5XWO7WFA.jpg&w=1440,true
https://news.google.com/articles/CAIiEOwUcpRgvYdtoqhv01V6Qw0qFggEKg4IACoGCAowl6p7MN-zCTC9vBU?hl=en-US&gl=US&ceid=US%3Aen,The Guardian view on dealing with the Taliban: no good options | Editorial,<strong>Editorial: </strong>Strategic failure has drastically reduced the west’s ability to influence the future course of events,Opinion,[],2021-08-30 17:30:01+00:00,2021-08-31T13:30:43.000Z,http://www.theguardian.com/commentisfree/2021/aug/30/the-guardian-view-on-dealing-with-the-taliban-no-good-options,https://i.guim.co.uk/img/media/0c94b61e5e22f5b6ee2e10ebdb1909fb4f910c41/0_19_3500_2100/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctb3BpbmlvbnMucG5n&enable=upscale&s=145ecda6c44c45637e69bbca5e684b06,
https://news.google.com/articles/CBMibWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2Vudmlyb25tZW50LWFuZC1uYXR1cmUtbmV3LW9ybGVhbnMtZmxvb2RzLXN1YnVyYnMtZjJhMDMzZWYzZWNhOWI5OGQ1NTM1MWEwNzM2NjU3ZDnSAQA?hl=en-US&gl=US&ceid=US%3Aen,New Orleans levees pass Ida’s test while some suburbs flood,"NEW ORLEANS (AP) — The levees, floodwalls and floodgates that protect New Orleans held up against Hurricane Ida's fury , passing their toughest test since the federal government spent billions of dollars to upgrade a system that catastrophically failed when Hurricane Katrina struck 16 years ago.",Hurricane Ida,"['Janet Mcconnaughey', 'Michael Kunzelman', 'Jeff Amy']",2021-08-30 20:02:17+00:00,2021-08-30T22:22:00Z,https://apnews.com/article/environment-and-nature-new-orleans-floods-suburbs-f2a033ef3eca9b98d55351a0736657d9,https://storage.googleapis.com/afs-prod/media/842d8e34804f45389d29c351d9b1edd0/3000.jpeg,
https://news.google.com/articles/CCAiC0JwZjdTMVQ1enc4mAEB?hl=en-US&gl=US&ceid=US%3Aen,"Hurricane Ida aftermath: New Orleans, the rest of Louisiana and tracking the path ahead","Rescuers set out in hundreds of boats and helicopters to reach people trapped by floodwaters Monday, and utility repair crews rushed in, after a furious Hurr...",,[],,,https://www.youtube.com/watch?v=Bpf7S1T5zw8,https://i.ytimg.com/vi/Bpf7S1T5zw8/hqdefault.jpg,
https://news.google.com/articles/CCAiC0dRRVd2YUtVQlh3mAEB?hl=en-US&gl=US&ceid=US%3Aen,Before and after video shows parts of Louisiana hit by Hurricane Ida | USA TODAY,"Security footage from the St. Bernard Parish government shows areas in Delacroix, La. before and after they were hit by Hurricane Ida.RELATED:https://youtu.b...",,[],,,https://www.youtube.com/watch?v=GQEWvaKUBXw,https://i.ytimg.com/vi/GQEWvaKUBXw/maxresdefault.jpg,
https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LmthdGMuY29tL25ld3MvY292ZXJpbmctbG91aXNpYW5hL2NvYXN0LWd1YXJkLWZsaWVzLW92ZXItZ2FsbGlhbm8tdG8tYXNzZXNzLWlkYS1kYW1hZ2XSAQA?hl=en-US&gl=US&ceid=US%3Aen,Coast Guard flies over southeast Louisiana to assess Ida damage,,Covering Louisiana,"['Katc News', 'Us Coast Guard']",2021-08-30 16:53:25.108000,2021-08-30T18:19:21.634,https://www.katc.com/news/covering-louisiana/coast-guard-flies-over-galliano-to-assess-ida-damage,https://ewscripps.brightspotcdn.com/dims4/default/8873b42/2147483647/strip/true/crop/786x413+0+6/resize/1200x630!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2F80%2Fbe%2F3977cb8b4132aadf11dfa62e4a57%2Fgalliano-fly-over.jpg,
https://news.google.com/articles/CBMib2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2Vudmlyb25tZW50L2V2ZXJ5dGhpbmctY29sbGFwc2VkLXBvc3Qta2F0cmluYS1yZWZ1Z2Utcm9ja2VkLWJ5LWlkYS0yMDIxLTA4LTMwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,'Everything collapsed': Post-Katrina refuge rocked by Ida,"LaPlace, a Louisiana town on the shore of Lake Pontchartrain, sustained relatively little damage from Hurricane Katrina in 2005. That led some to view it as one of the safer places to live in the storm-battered area around New Orleans.",Environment,['Devika Krishna Kumar'],2021-08-30 21:39:47+00:00,2021-08-30T21:40:36.437Z,https://www.reuters.com/business/environment/everything-collapsed-post-katrina-refuge-rocked-by-ida-2021-08-30/,https://www.reuters.com/resizer/dVSStEg5osM2-SXAbMwUavBcb-M=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/GQAHE6IR35LYBA4LZCU2TPBGAA.jpg,
