article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
The latest news from Afghanistan as the Taliban take control of the country,Unavailable,News,,Unavailable,LIVE,1.0,False,False
COVID-19: News and updates for Virginia,Unavailable,News,,Unavailable,LIVE,2.0,False,False
Men from Afghanistan's secret gay community say they are living through a 'nightmare' and fear that the Taliban will execute them at any moment,Unavailable,News,Insider International,Unavailable,3 hours ago,3.0,False,False
Fentanyl Is Creeping Into the Mainstream Drug Supply,Unavailable,News,VICE News,Unavailable,Yesterday,4.0,False,False
A popular Covid-19 rapid test maker told a factory to destroy inventory before the U.S. surge,Unavailable,News,The New York Times,Unavailable,Yesterday,5.0,False,False
The federal trial of R. Kelly continues in New York,Unavailable,News,,Unavailable,Last night,6.0,False,False
A 17-year-old Afghan soccer player died falling from a U.S. evacuation plane,Unavailable,News,The New York Times,Unavailable,Yesterday,7.0,False,False
Here’s how much money each generation has saved for retirement,Unavailable,News,CNBC Make It,Unavailable,Yesterday,8.0,False,False
"COVID-19 vaccines are extremely effective at preventing serious illness and deaths, trials show",Unavailable,News,,Unavailable,LIVE,9.0,False,False
"Prop. 22, the gig worker exemption for Uber and Lyft, is ruled unconstitutional",Unavailable,News,San Francisco Chronicle,Unavailable,Last night,10.0,False,False
"At 101 years old, this Maine lobsterwoman still makes waves on the water, and now, online, too.",Unavailable,News,The Boston Globe,Unavailable,2 hours ago,11.0,False,False
"Preparing New England for Henri, a Potentially Historic Storm",Unavailable,News,NBC10 Boston,Unavailable,Yesterday,12.0,False,False
What to know about COVID-19 vaccine booster shots,Unavailable,News,,Unavailable,Last night,13.0,False,False
CNN's Clarissa Ward departs from Afghanistan,Unavailable,News,,Unavailable,Last night,14.0,False,False
How to avoid a surprise bill for your coronavirus test,Unavailable,News,The New York Times,Unavailable,Yesterday,15.0,False,False
The FDA is aiming to give full approval to Pfizer’s Covid vaccine on Monday,Unavailable,News,The New York Times,Unavailable,Yesterday,16.0,False,False
"Afghanistan: If you can’t take us, take our children, plead crowd outside Kabul airport",Unavailable,News,Telegraph World News,Unavailable,Yesterday,17.0,False,False
What the OnlyFans ban on ‘sexually explicit conduct’ means for those relying on it for their livelihoods,Unavailable,News,,Unavailable,This morning,18.0,False,False
Experts say masks are safe and effective in preventing spread of COVID-19,Unavailable,News,,Unavailable,LIVE,19.0,False,False
