article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
COVID-19: News and updates for Virginia,Unavailable,News,,Unavailable,LIVE,1.0,False,False
The US jobs market is scorching hot for teenagers,Unavailable,News,Financial Times,Unavailable,Last night,2.0,False,False
"Infectious Delta variant spreads rapidly, now California’s dominant COVID-19 strain",Unavailable,News,Los Angeles Times,Unavailable,Yesterday,3.0,False,False
How this man-made bridge could help mountain lions and other wildlife thrive,Unavailable,News,Los Angeles Times,Unavailable,Yesterday,4.0,False,False
It's one of California's lakes with enough water for boating. Drownings are a problem,Unavailable,News,San Francisco Chronicle,Unavailable,4 hours ago,5.0,False,False
Activist Stan Swamy passes away at 84,Unavailable,News,,Unavailable,This morning,6.0,False,False
"They were the nice, older couple next door. Then the first body turned up.",Unavailable,News,The New York Times,Unavailable,3 hours ago,7.0,False,False
Jimmy and Rosalynn Carter reflect on 75 years of marriage,Unavailable,News,The New York Times,Unavailable,3 hours ago,8.0,False,False
At least 50 people dead after Philippine Air Force plane crash,Unavailable,News,,Unavailable,Last night,9.0,False,False
Blue Jackets goalie Matiss Kivlenieks dies at age 24,Unavailable,News,,Unavailable,2 hours ago,10.0,False,False
The first 100 days for new CEO Andy Jassy could make or break Amazon,Unavailable,News,Business Insider,Unavailable,1 hour ago,11.0,False,False
Covid-19 cases are rising in Tokyo with the Olympics just 3 weeks away,Unavailable,News,Bloomberg Quicktake,Unavailable,57 minutes ago,12.0,False,False
Trump tried to sell off Mar-a-Lago in the '90s. Here’s how preservationists stopped him.,Unavailable,News,Politics Insider,Unavailable,Yesterday,13.0,False,False
"Americans, can you answer these questions?",Unavailable,News,Bloomberg Opinion,Unavailable,Yesterday,14.0,False,False
"Independence looks different this July 4, thanks to the hell year that was 2020",Unavailable,News,Los Angeles Times,Unavailable,Yesterday,15.0,False,False
Wildfire season in the western US and Canada has started,Unavailable,News,,Unavailable,LIVE,16.0,False,False
Boris Johnson confirms that all legal COVID-19 restrictions in England will end on July 19,Unavailable,News,,Unavailable,1 hour ago,17.0,False,False
