article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
Corey Lewandowski is reportedly out at Trump World after allegations of unwanted sexual advances by Republican donor,https://www.msn.com/en-us/news/politics/corey-lewandowski-is-reportedly-out-at-trump-world-after-allegations-of-unwanted-sexual-advances-by-republican-donor/ar-AAOYlDm?ocid=Peregrine,Top Stories,Business Insider,Unavailable,,1.0,False,False
'I'm trying to stay apolitical.' Top US general faces wave of GOP attacks over Trump-era actions,https://www.msn.com/en-us/news/politics/i-m-trying-to-stay-apolitical-top-us-general-faces-wave-of-gop-attacks-over-trump-era-actions/ar-AAOYmtX?ocid=Peregrine,Top Stories,CNN,Unavailable,,1.1,False,False
Everyone Should Have This Portable air Condition,https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=avBH2QZqlhmY8LJQlwPWN8cLN3eth184tR8hhS7VE-4&evt=102&rid=e8f54cad7e01e0847bdfdf329514dd66&campaignid=1025040&impid=vlp-infopane-3&offerid=1913215&test=0&time=1632966764&cp=XqOWk5MquUZxdKUAXi1qZGX5SGzkTJs5EjgK2gYXX6s&clickid=21_e8f54cad7e01e0847bdfdf329514dd66_vlp-infopane-3&acid=536&trackingid=9350eda77e8c14292326f36fee4980dc&uid=1E0BE178F3216AD7339FF1BAF24E6B0C&jt=2&url=OWPMq7wLJbUlhp_OjhtYdY5umrYL2vmMDNIUD3V-gdU7nqvF8mvKdnOmh4DjQX-IZaVvWVOhclK1VV4s63pEVIqoRCoP7W2dz1eSoqpqiu2dGC53YxjBRliIPRFgjObDAvT3TcX5J8VPhz_EgdRIvrMkJUyE6eKKYWCebAiOqP41kvhmI-rWljxdXkIKQ46d8H13Ux2G0foKbFYhgUYV5Gm4aSTHQwbc01CuTb4Ai1Yg1WPXdYnTTKKUm4B8-Xik9QifDyNXAOVFrf-U9hCqmjxBn2apPu4NldxtFP6R50VcEGuci1MYHFJUiLVyF5ukc1brOY0xhHddMljWy2O_zBtYp4jgQ_wwWbJsAXsmG2CDCrvrFzvXALmeCOmCuichfHzPetjOykhKcaZX-z9aQxusyBDudtBrBuwlYhmTZvS5vj0HOl8e8f163MJsW2bR0RTmKE2fxFYxiQMT-uE9_iBZ-tX6pVBFgbBk_FeHLbX2dEzRbtinoCwfDueAoUfpr561PGqwcEtxzql19CKk-Q&bm=5&la=en&cn=us&cid=1055176&info=PzNDu4GAMd7BanJFNJFQY3LY9QXT2ICyGRtd86X22VAtzlVK_3VUK5MFe2M_PNy2,Top Stories,AdLifestyle Tips Today,Unavailable,,1.2,False,True
Prison Riot Death Toll Tops 100 as Ecuador Decrees Emergency,https://www.msn.com/en-us/news/world/prison-riot-death-toll-tops-100-as-ecuador-decrees-emergency/ar-AAOYs4E?ocid=Peregrine,Top Stories,Bloomberg,Unavailable,,1.3,False,False
"Two Dems, one Republican vote against parties on debt ceiling",https://www.msn.com/en-us/news/politics/two-dems-one-republican-vote-against-parties-on-debt-ceiling/ar-AAOYvSn?ocid=Peregrine,Top Stories,The Hill,Unavailable,,1.4,False,False
TimePorter for Smart Watch,https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=Gsl9mgxQEelrdRtK2f2qoW2HTgg64dBMQnMQDZM2hCs&evt=102&rid=e8f54cad7e01e0847bdfdf329514dd66&campaignid=1051171&impid=vlp-infopane-6&offerid=2935181&test=0&time=1632966764&cp=SLzzAAMFccg2YDQlc6mlJTYagbpFmWRu6T01gaMp3o8&clickid=21_e8f54cad7e01e0847bdfdf329514dd66_vlp-infopane-6&acid=627&trackingid=fd915978fc5659f8bd94ae33396c80e1&uid=1E0BE178F3216AD7339FF1BAF24E6B0C&jt=2&url=D8rcfVcjOsBaQorlWKk3bAKANdLocJ60uzo4TYqY7b0n3j-FJwkK4LgPFLuNRIYyT929flxTjliNSytBj0_zNHODA0cdpzLxhkaxC4aBSp0WSLnbGris671DuSbkj5ZthxRrpMTY-waBdEANk_LKE4evu9FtvVHkFi57IWHeg3I&bm=5&la=en&cn=us&cid=1103777&info=ZE8-yX9WvTdZUm9GeK_gVexPwdSam6QdA5uXXp6cakrNUp5x8-NbReEMxDLYpOYB,Top Stories,AdPottery Barn,Unavailable,,1.5,False,True
New Bishop named in Brooklyn after predecessor retired amid sex abuse scandal,https://www.msn.com/en-us/news/us/new-bishop-named-in-brooklyn-after-predecessor-retired-amid-sex-abuse-scandal/ar-AAOYz5w?ocid=Peregrine,Top Stories,AFP,Unavailable,,1.6,False,False
"Senate reaches deal to avoid government shutdown, Schumer announces",https://www.msn.com/en-us/news/politics/senate-reaches-deal-to-avoid-government-shutdown-schumer-announces/ar-AAOYvH2?ocid=Peregrine,Top Stories,NBC News,Unavailable,,1.7,False,False
Amazon Prime Video: All the movies and TV shows coming in October 2021,https://www.msn.com/en-us/news/technology/amazon-prime-video-all-the-movies-and-tv-shows-coming-in-october-2021/ar-AAOYwlC?ocid=Peregrine,Top Stories,CNET,Unavailable,,1.8,False,False
Biden admin trying again to end 'Remain in Mexico' policy,https://www.msn.com/en-us/news/us/biden-admin-trying-again-to-end-remain-in-mexico-policy/ar-AAOYwcc?ocid=Peregrine,Top Stories,FOX News,Unavailable,,1.9,False,False
