article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
Crews battling California's mammoth Dixie fire brace for high winds,https://www.msn.com/en-us/weather/topstories/crews-battling-californias-mammoth-dixie-fire-brace-for-high-winds/ar-AANocv7?ocid=BingNews,Top stories,Reuters,Unavailable,2h,1.0,False,False
"Haiti Quake Destroyed Many Churches, Shredding a Mainstay of Support",https://www.msn.com/en-us/news/world/haiti-quake-destroyed-many-churches-shredding-a-mainstay-of-support/ar-AANnTfy?ocid=BingNews,Top stories,The New York Times,Unavailable,1h,2.0,False,False
From Afghan nation-builder to life in 'exile': Ashraf Ghani flees country in defeat,https://www.msn.com/en-us/news/world/from-afghan-nation-builder-to-life-in-exile-ashraf-ghani-flees-country-in-defeat/ar-AANnMb5?ocid=BingNews,Top stories,NBC News,Unavailable,8h,3.0,False,False
Afghanistan updates: US resumes air operations at Kabul airport,https://www.msn.com/en-us/news/world/afghanistan-updates-us-resumes-air-operations-at-kabul-airport/ar-AANnZjQ?ocid=BingNews,Top stories,ABC News,Unavailable,35m,4.0,False,False
Biden’s promise to restore competency to the presidency is undercut by chaos in Afghanistan,https://www.msn.com/en-us/news/politics/biden-s-promise-to-restore-competency-to-the-presidency-is-undercut-by-chaos-in-afghanistan/ar-AANoyaT?ocid=BingNews,Top stories,The Washington Post,Unavailable,1h,5.0,False,False
'Nobody should be surprised': Why Afghan security forces crumbled so quickly to the Taliban,https://www.msn.com/en-us/news/world/nobody-should-be-surprised-why-afghan-security-forces-crumbled-so-quickly-to-the-taliban/ar-AANoc9V?ocid=BingNews,Top stories,USA TODAY,Unavailable,2h,6.0,False,False
Afghans who helped the U.S. and its allies left in limbo as evacuation turns chaotic,https://www.msn.com/en-us/news/world/afghans-who-helped-the-us-and-its-allies-left-in-limbo-as-evacuation-turns-chaotic/ar-AANo8pk?ocid=BingNews,Top stories,The Washington Post,Unavailable,5h,7.0,False,False
Taliban frees thousands of prisoners from former US base: report,https://www.msn.com/en-us/news/world/taliban-frees-thousands-of-prisoners-from-former-us-base-report/ar-AANmeK7?ocid=BingNews,Top stories,FOX News,Unavailable,23h,8.0,False,False
U.S. appeals judge's order reviving Trump 'remain in Mexico' program,https://www.msn.com/en-us/news/us/us-appeals-judges-order-reviving-trump-remain-in-mexico-program/ar-AANo9bP?ocid=BingNews,Top stories,Reuters,Unavailable,4h,9.0,False,False
UN council urges inclusive talks on new Afghan government,https://www.msn.com/en-us/news/world/un-council-urges-inclusive-talks-on-new-afghan-government/ar-AANoaNX?ocid=BingNews,Top stories,Associated Press,Unavailable,5h,10.0,False,False
Drone video shows devastation left in wake of 7.2-magnitude earthquake in Haiti,https://www.msn.com/en-us/news/world/drone-video-shows-devastation-left-in-wake-of-72-magnitude-earthquake-in-haiti/ar-AANnIla?ocid=BingNews,Top stories,NBC News,Unavailable,52m,11.0,False,False
"Pentagon says up to 22,000 'at-risk' Afghans could be transported to US",https://www.msn.com/en-us/news/world/pentagon-says-up-to-22000-at-risk-afghans-could-be-transported-to-us/ar-AANosT5?ocid=BingNews,Top stories,FOX News,Unavailable,1h,12.0,False,False
Titans' Josh Reynolds 'working through' Achilles issue,https://www.msn.com/en-us/sports/nfl/titans-josh-reynolds-working-through-achilles-issue/ar-AANopaR?ocid=BingNews,Sports,Titans Wire,Unavailable,42m,1.0,False,False
"Sean McVay shares injury updates on Leonard Floyd, Tutu Atwell and 2 others",https://www.msn.com/en-us/sports/nfl/sean-mcvay-shares-injury-updates-on-leonard-floyd-tutu-atwell-and-2-others/ar-AANoykr?ocid=BingNews,Sports,Rams Wire,Unavailable,53m,2.0,False,False
Raiders make first roster moves to get down to 85 players,https://www.msn.com/en-us/sports/nfl/raiders-make-first-roster-moves-to-get-down-to-85-players/ar-AANo9Rp?ocid=BingNews,Sports,Raiders Wire,Unavailable,3h,3.0,False,False
"Za'Darius Smith, Will Redmond pass physicals, come off NFI list",https://www.msn.com/en-us/sports/nfl/za-darius-smith-will-redmond-pass-physicals-come-off-nfi-list/ar-AANor9x?ocid=BingNews,Sports,Packers Wire,Unavailable,1h,4.0,False,False
"After attending four practices last week, Deshaun Watson misses practice on Monday",https://www.msn.com/en-us/sports/nfl/after-attending-four-practices-last-week-deshaun-watson-misses-practice-on-monday/ar-AANofkv?ocid=BingNews,Sports,NBC Sports,Unavailable,1h,5.0,False,False
"After Olympic wrestling gold, Gable Steveson pursued by Minnesota Golden Gophers football, UFC, WWE",https://www.msn.com/en-us/sports/ncaafb/after-olympic-wrestling-gold-gable-steveson-pursued-by-minnesota-golden-gophers-football-ufc-wwe/ar-AANood8?ocid=BingNews,Sports,USA TODAY SPORTS,Unavailable,2h,6.0,False,False
Celtics have plenty to play for in Las Vegas summer league final vs. the Kings,https://www.msn.com/en-us/sports/nhl/celtics-have-plenty-to-play-for-in-las-vegas-summer-league-final-vs-the-kings/ar-AANoym9?ocid=BingNews,Sports,The Boston Globe,Unavailable,52m,7.0,False,False
BYU’s Cougar Kickoff canceled due to ‘poor air quality conditions’,https://www.msn.com/en-us/sports/ncaafb/byu-s-cougar-kickoff-canceled-due-to-poor-air-quality-conditions/ar-AANopaK?ocid=BingNews,Sports,Salt Lake Tribune,Unavailable,38m,8.0,False,False
"Dolphins' Allen Hurns has wrist injury, expected to miss 3 months",https://www.msn.com/en-us/sports/nfl/dolphins-allen-hurns-has-wrist-injury-expected-to-miss-3-months/ar-AANo9D8?ocid=BingNews,Sports,Dolphins Wire,Unavailable,4h,9.0,False,False
UCF RB RJ Harvey reportedly suffers season-ending knee injury,https://www.msn.com/en-us/sports/more-sports/ucf-rb-rj-harvey-reportedly-suffers-season-ending-knee-injury/ar-AANow5q?ocid=BingNews,Sports,Orlando Sentinel,Unavailable,5m,10.0,False,False
Falcons camp highlights: Top plays from Monday's practice,https://www.msn.com/en-us/sports/nfl/falcons-camp-highlights-top-plays-from-mondays-practice/ar-AANosCg?ocid=BingNews,Sports,Falcons Wire,Unavailable,2h,11.0,False,False
Report: Ex-Lions CB Alex Brown to be charged in accident that injured teammate Charlie Taumoepeau,https://www.msn.com/en-us/sports/nfl/report-ex-lions-cb-alex-brown-to-be-charged-in-accident-that-injured-teammate-charlie-taumoepeau/ar-AANocdO?ocid=BingNews,Sports,Lions Wire,Unavailable,3h,12.0,False,False
The Newsom Recall Vote Is Just Plain Weird,https://www.msn.com/en-us/news/politics/the-newsom-recall-vote-is-just-plain-weird/ar-AANoyxM?ocid=BingNews,U.S.,Intelligencer,Unavailable,29m,1.0,False,False
"Florida COVID-19 update: Hospitalizations nearly the same after 2 days of case, death data",https://www.msn.com/en-us/health/medical/florida-covid-19-update-hospitalizations-nearly-the-same-after-2-days-of-case-death-data/ar-AANovFD?ocid=BingNews,U.S.,Miami Herald,Unavailable,45m,2.0,False,False
Polk County offers COVID vaccine booster shot to residents with immune system issues,https://www.msn.com/en-us/health/medical/polk-county-offers-covid-vaccine-booster-shot-to-residents-with-immune-system-issues/ar-AANoqEZ?ocid=BingNews,U.S.,Des Moines Register,Unavailable,1h,3.0,False,False
Prosecutors decline to charge Clark County deputies who shot Kevin Peterson Jr. after drug bust,https://www.msn.com/en-us/news/crime/prosecutors-decline-to-charge-clark-county-deputies-who-shot-kevin-peterson-jr-after-drug-bust/ar-AANo8wg?ocid=BingNews,U.S.,OregonLive.com,Unavailable,26m,4.0,False,False
Conservation Groups Threaten to Sue after 900 Manatee Deaths,https://www.msn.com/en-us/news/us/conservation-groups-threaten-to-sue-after-900-manatee-deaths/ar-AANokY3?ocid=BingNews,U.S.,Newsweek,Unavailable,4h,5.0,False,False
Oregon posts 53% increase in weekly coronavirus cases as part of record-setting span,https://www.msn.com/en-us/news/us/oregon-posts-53-increase-in-weekly-coronavirus-cases-as-part-of-record-setting-span/ar-AANoydq?ocid=BingNews,U.S.,OregonLive.com,Unavailable,56m,6.0,False,False
Central NY leading state in Covid-19 as Onondaga County cases hover around 100 a day,https://www.msn.com/en-us/news/us/central-ny-leading-state-in-covid-19-as-onondaga-county-cases-hover-around-100-a-day/ar-AANoa8T?ocid=BingNews,U.S.,Syracuse.com,Unavailable,3h,7.0,False,False
Chiefs quarterback Patrick Mahomes' new signature shoes are coming next week,https://www.msn.com/en-us/sports/nfl/chiefs-quarterback-patrick-mahomes-new-signature-shoes-are-coming-next-week/ar-AANob6r?ocid=BingNews,U.S.,Kansas City Star,Unavailable,5h,8.0,False,False
Early COVID counts push Hillsborough schools to consider stronger mask rules,https://www.msn.com/en-us/health/wellness/early-covid-counts-push-hillsborough-schools-to-consider-stronger-mask-rules/ar-AANolcd?ocid=BingNews,U.S.,Tampa Bay Times,Unavailable,1h,9.0,False,False
"Syracuse officer Brandon Hanks files federal lawsuit, adds deputy chief to it over use of N-word",https://www.msn.com/en-us/news/crime/syracuse-officer-brandon-hanks-files-federal-lawsuit-adds-deputy-chief-to-it-over-use-of-n-word/ar-AANo5gI?ocid=BingNews,U.S.,Syracuse.com,Unavailable,3h,10.0,False,False
"Declare state of emergency over COVID, commissioner says; health official calls case spike 'dire'",https://www.msn.com/en-us/news/us/declare-state-of-emergency-over-covid-commissioner-says-health-official-calls-case-spike-dire/ar-AANo0m3?ocid=BingNews,U.S.,The Palm Beach Post,Unavailable,6h,11.0,False,False
Baker says he has no plans to change statewide mask guidance in schools; almost all New England counties are sites of high or substantial transmission,https://www.msn.com/en-us/news/us/lack-of-paid-sick-leave-undermines-vaccine-campaign-survey-finds-florida-seniors-hospitalized-with-covid-as-much-as-in-january/ar-AAMrNBT?ocid=BingNews,U.S.,The Boston Globe,Unavailable,8h,12.0,False,False
Lane Stadium to sell alcohol for first time in 56 years at Virginia Tech,https://www.msn.com/en-us/sports/ncaafb/lane-stadium-to-sell-alcohol-for-first-time-in-56-years-at-virginia-tech/ar-AANoaRO?ocid=BingNews,Local,Roanoke-Lynchburg WDBJ-TV on MSN.com,Unavailable,5h,1.0,False,False
Southwest Virginia stands to lose legislative districts following population decline,https://www.msn.com/en-us/news/us/southwest-virginia-stands-to-lose-legislative-districts-following-population-decline/ar-AANosO2?ocid=BingNews,Local,WDBJ on MSN.com,Unavailable,2h,2.0,False,False
Blacksburg issues indoor mask mandate for town-owned facilities,https://www.wsls.com/news/local/2021/08/14/blacksburg-issues-indoor-mask-mandate-for-town-owned-facilities/,Local,WSLS 10,Unavailable,1d,3.0,False,False
Virginia Tech students gear up for new year on move-in day,https://www.msn.com/en-us/money/careersandeducation/virginia-tech-students-gear-up-for-new-year-on-move-in-day/ar-AANkj76?ocid=BingNews,Local,Roanoke-Lynchburg WDBJ-TV on MSN.com,Unavailable,2d,4.0,False,False
Blacksburg now requires masks inside of town-owned facilities,https://www.msn.com/en-us/news/us/blacksburg-now-requires-masks-inside-of-town-owned-facilities/ar-AANimTz?ocid=BingNews,Local,Roanoke-Lynchburg WDBJ-TV on MSN.com,Unavailable,3d,5.0,False,False
Tropical Storm Fred on course for heavy rain in Roanoke area,https://roanoke.com/news/local/tropical-storm-fred-on-course-for-heavy-rain-in-roanoke-area/article_9815ab0e-fed9-11eb-a130-87c8fd89cefc.html,Local,The Roanoke Times,Unavailable,2h,6.0,False,False
58-year-old Roanoke man dies after motorcycle crash on Blue Ridge Parkway,https://www.wsls.com/news/local/2021/08/16/58-year-old-roanoke-man-dies-after-motorcycle-crash-on-blue-ridge-parkway/,Local,WSLS 10,Unavailable,3h,7.0,False,False
Freshmen and new students will soon move into Virginia Tech dorms,https://www.msn.com/en-us/finance/careersandeducation/freshmen-and-new-students-will-soon-move-into-virginia-tech-dorms/ar-AANhlD9?ocid=BingNews,Local,WDBJ on MSN.com,Unavailable,3d,8.0,False,False
Virginia Tech using dog-like robot for construction projects,https://www.wsls.com/news/local/2021/08/13/virginia-tech-using-dog-like-robot-for-construction-projects/,Local,WSLS 10,Unavailable,3d,9.0,False,False
Freshman and new students will soon be moving into dorms at Virginia Tech,https://www.msn.com/en-us/money/careersandeducation/freshman-and-new-students-will-soon-be-moving-into-dorms-at-virginia-tech/ar-AANhlD9?ocid=BingNews,Local,Roanoke-Lynchburg WDBJ-TV on MSN.com,Unavailable,3d,10.0,False,False
Crews on scene of house fire in Northwest Roanoke,https://www.wsls.com/news/local/2021/08/16/crews-on-scene-of-house-fire-in-northwest-roanoke/,Local,WSLS 10,Unavailable,7h,11.0,False,False
Roanoke man killed in crash on Blue Ridge Parkway,https://www.msn.com/en-us/news/crime/roanoke-man-killed-in-crash-on-blue-ridge-parkway/ar-AANo25T?ocid=BingNews,Local,WDBJ on MSN.com,Unavailable,7h,12.0,False,False
What Joe Biden Didn't Say About the Chaos in Afghanistan,https://www.msn.com/en-us/news/world/what-joe-biden-didnt-say-about-the-chaos-in-afghanistan/ar-AANoty2?ocid=BingNews,World,Time,Unavailable,31m,1.0,False,False
Violence Erupts at Kabul Airport as Afghans Try to Flee Taliban,https://www.msn.com/en-us/news/world/violence-erupts-at-kabul-airport-as-afghans-try-to-flee-taliban/ar-AANmAyp?ocid=BingNews,World,The Wall Street Journal.,Unavailable,1h,2.0,False,False
