article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
"North Carolina school shooting: Mount Tabor High locked down after shooting, police say",https://www.msn.com/en-us/news/crime/north-carolina-school-shooting-mount-tabor-high-locked-down-after-shooting-police-say/ar-AANZoxu?ocid=Peregrine,Top Stories,USA TODAY,Unavailable,,1.0,False,False
NC high school in lockdown after shooting reported on campus,https://www.msn.com/en-us/news/politics/nc-high-school-in-lockdown-after-shooting-reported-on-campus/ar-AANZw7i?ocid=Peregrine,Top Stories,The Hill,Unavailable,,1.1,False,False
"7 Retirement Income Strategies Once Your Portfolio Reaches $500,000",https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=hzoO2ftBCtIYII7plAUW7GqFkMmD7dGW7BEJWbhNyAM&evt=102&rid=661280ebf4223a70d496fe745ca50ae6&campaignid=1040022&impid=vlp-infopane-3&offerid=2476690&test=0&time=1630519603&cp=vpJMnfh4EnWgzMgXYgnBuaFJEwbiVOKyJbVjdRfF_nM&clickid=21_661280ebf4223a70d496fe745ca50ae6_vlp-infopane-3&acid=305&trackingid=784be4a98a3dbcb790d112d35f3e0464&uid=0CBA253F9416654427B2359A9504643D&jt=2&url=iWIA4OLEDn9DLP2jQH1z4QZdeuRIFjCK0m6_Sp_K61g0bFVJn3MqJAtl7BaJOFyhUjfVZqJdSc65cbPx6YVTIeY4UAdeHnX0y1eEDCzWQg4O9k-8JIWTyDlVWlbo6VDugr0DkWSrHeKX3K8UvuWDT6FQP3aHKF9yZNWVzRw8MrmC1tuUFn7E8k_blMZM6s1M1QRG2VNE0h4yXpcntJHEFky4hY_hdyM6ptJIq0y5ps7BG2GAMsweNOZbJ8iTIbaKh7jow4z9J5Vxzhf4eQ8qpx229f_pfY06pjksBrFlXX4&bm=2&la=en&cn=us&cid=1081622&info=rhGZngeOWlht5PfleBtxxgdTfOdBezXaV8qF-kie0ej5aWq_8TV5G8G2vnAm9JCL99MEFtEALD0ID4pNsob08Q,Top Stories,AdFisher Investments,Unavailable,,1.2,False,True
Brooklyn Catholic bishop cleared by independent investigation of abuse allegations from two accusers,https://www.msn.com/en-us/news/crime/brooklyn-catholic-bishop-cleared-by-independent-investigation-of-abuse-allegations-from-two-accusers/ar-AANZm6E?ocid=Peregrine,Top Stories,New York Daily News,Unavailable,,1.3,False,False
Afghanistan updates: Taliban warns US withdrawal deadline is 'a red line',https://www.msn.com/en-us/news/us/afghanistan-updates-top-pentagon-officials-speak-to-veterans-it-was-not-in-vain/ar-AANnZjQ?ocid=Peregrine,Top Stories,ABC News,Unavailable,,1.4,False,False
Top Doctors: These Men's Shoes Can Reduce Foot Pain And Improve Posture,https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=iKQOVAmfxi5jgesMPUTIXP6UWydy4mq0fsGD3kUXRUA&evt=102&rid=661280ebf4223a70d496fe745ca50ae6&campaignid=1043325&impid=vlp-infopane-6&offerid=2611497&test=0&time=1630519603&cp=VHhPL7iPbSg00TVCfwaPsVUYfognWeXUrXOro7pzG9c&clickid=21_661280ebf4223a70d496fe745ca50ae6_vlp-infopane-6&acid=716&trackingid=3cecb8894ee71b2cdc2a2406df6ee160&uid=0CBA253F9416654427B2359A9504643D&jt=2&url=GRNEEDVsU1eaIj-xdc4xI16z65cqyKprtsHQ1jTS1sNM6iEauBGztktC7TYRkJadDvOU18iIVNVeimQ2Y3vC-zEuQYpm2rAxH7W9DvM0P1Fmaelr8ImPUoLaSMDzznQ14R20wx8WxLr0dF8l4UKGNu6N2c6wa4ugIjNPiNy9qWmnSWK2v2zPAQyjqSb8nqWAqAG3bQFS6-q0qJzyrg_akcd43ZAWm-15BjndSYnGfQP8mlGsglIVa4m8JGQxxEzVEsV8Fnppr-OY8_AKgNUn-H1c5Ya_IE7Re1Bto_sanMUgcm0ofC0F0gthsAeV7fbg16Wle3katc372vv6EWLRn4M6JtSt114G4HJ42vJ0A8rEUuX-d81A2HuhO4nyZvqVUb-D5DyF9wNmQQmdGSeRowx4hj85Uw8Zbs1YmsxBoQ0&bm=2&la=en&cn=us&cid=1088103&info=qtxGlMLOyE607kHvzLi4-gHCysf_FeY-8UXjhZJngtPnWiSqOVe_h0tgsH_PZWNhSvDQ__lwhrXj-LbVoj1lRQ,Top Stories,AdLovehots.com,Unavailable,,1.5,False,True
Bill to curb racial teaching goes to North Carolina governor,https://www.msn.com/en-us/news/us/bill-to-curb-racial-teaching-goes-to-north-carolina-governor/ar-AANZAWD?ocid=Peregrine,Top Stories,Associated Press,Unavailable,,1.6,False,False
Afghan refugees in Qatar make first-hand appeal to ministers,https://www.msn.com/en-us/news/world/afghan-refugees-in-qatar-make-first-hand-appeal-to-ministers/ar-AANZytB?ocid=Peregrine,Top Stories,AFP,Unavailable,,1.7,False,False
7 of 8 San Diego-Area Families Stuck in Afghanistan After Summer Vacation Have Made It Home: Officials,https://www.msn.com/en-us/news/us/7-of-8-san-diego-area-families-stuck-in-afghanistan-after-summer-vacation-have-made-it-home-officials/ar-AANZvWZ?ocid=Peregrine,Top Stories,People,Unavailable,,1.8,False,False
Police departments are warning parents not to post detailed back-to-school photos of their kids,https://www.msn.com/en-us/news/us/police-departments-are-warning-parents-not-to-post-detailed-back-to-school-photos-of-their-kids/ar-AANZAX1?ocid=Peregrine,Top Stories,Business Insider,Unavailable,,1.9,False,False
Taliban show off captured weapons at Kandahar victory parade,https://www.msn.com/en-us/news/world/taliban-show-off-captured-weapons-at-kandahar-victory-parade/ar-AANYCOi?ocid=Peregrine,Top Stories,CNN,Unavailable,,1.10,False,False
NYC Council Members Challenge De Blasio on School Reopening Plan,https://www.msn.com/en-us/news/us/nyc-council-members-challenge-de-blasio-on-school-reopening-plan/ar-AANZmWb?ocid=Peregrine,Top Stories,Bloomberg,Unavailable,,1.11,False,False
"Elijah McClain case: 3 Colorado cops, 2 paramedics charged with manslaughter, negligent homicide in Black man's death",https://www.msn.com/en-us/news/crime/elijah-mcclain-case-3-colorado-cops-2-paramedics-charged-with-manslaughter-negligent-homicide-in-black-man-s-death/ar-AANZvOV?ocid=Peregrine,Top Stories,CNBC,Unavailable,,2.0,False,False
Portugal changes vaccine rules for UK visitors,https://www.msn.com/en-us/news/world/portugal-changes-vaccine-rules-for-uk-visitors/ar-AANZmM1?ocid=Peregrine,Top Stories,BBC News,Unavailable,,3.0,False,False
US sees jump in unvaccinated people getting first shot,https://www.msn.com/en-us/news/us/u-s-sees-jump-in-unvaccinated-people-getting-first-shot/ar-AANZows?ocid=Peregrine,Top Stories,U.S. News & World Report,Unavailable,,4.0,False,False
