article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
CIA director's team member reported Havana Syndrome symptoms during India trip,https://www.msn.com/en-us/news/us/cia-director-s-team-member-reported-havana-syndrome-symptoms-during-india-trip/ar-AAOEqiK?ocid=Peregrine,Top Stories,NBC News,Unavailable,,1.0,False,False
White House calls video of US border agents chasing migrants 'horrific',https://www.msn.com/en-us/news/us/white-house-calls-video-of-border-agents-chasing-haitian-migrants-horrific-dhs-promises-to-investigate/ar-AAOE2Mm?ocid=Peregrine,Top Stories,USA TODAY,Unavailable,,1.1,False,False
If You Are Troubled By Not Being Able To Buy Buitable Shoes. Try It,https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=gRoZvnXgSZn82B7VUwiTcrQu6tDwZRelZ5pZWkB6yqY&evt=102&rid=c6fd6e0e3f7ae5ec9bfe219347ca1e1c&campaignid=1048204&impid=vlp-infopane-3&offerid=2814298&test=0&time=1632190162&cp=tSCOeUyMOl_THqyJoaeQM6BloXPxuHpzqU-1C2lMX8M&clickid=21_c6fd6e0e3f7ae5ec9bfe219347ca1e1c_vlp-infopane-3&acid=717&trackingid=bb762ad954e9bdeb99d1815d17185e31&uid=04D8FD8500826F882396ED3C01356E46&jt=2&url=5JUO-1uZPITMRpR-R91q9Ns9vB8MS7FQ1LlNUDCwGlP3CsmvFeYVAiLLgd21rRdQDF9Yx4CfWck5sjo7w6JYwZIxzeqX_5xoilTotChFD6NsNgHq2pkHdo1g8qcBX_RcWr96_KuGA5g8TkgZoNfq9x7NxpbZnBZFvx4kviWJzMeHXej57hKOCFWOGR0U7-rRngIHy2smZVcImGAcJM7k5p39pq6HMxTojuIE6plQN9EIMyJfqyNtOv2LplGSKqX4aPd6x88VWGAq_2-t_bemksOMF-gv1hKgnq2jQIGxi9mWRVussNI17cmGGO3OPNZQPmuxxkXhYLRoCBcmPnySgt0wccIoDZ7vadePVfXJhg8&bm=2&la=en&cn=us&cid=1097796&info=X8MlLcbJhd-HWbHErE1bAOFSqCxreBR8jcadEc8YkwRwpAdw0EnKKc0TkKFbGY9x,Top Stories,AdGmdjd.com,Unavailable,,1.2,False,True
"George Holliday, Who Filmed the 1991 Rodney King Beating, Dies After Contracting COVID: Reports",https://www.msn.com/en-us/news/crime/george-holliday-who-filmed-the-1991-rodney-king-beating-dies-after-contracting-covid-reports/ar-AAOEcZj?ocid=Peregrine,Top Stories,People,Unavailable,,1.3,False,False
"Durham preparing 'very well-laid out' conspiracy charge, 'Russiagate' inquirer says",https://www.msn.com/en-us/news/politics/durham-preparing-very-well-laid-out-conspiracy-charge-russiagate-inquirer-says/ar-AAOEsRY?ocid=Peregrine,Top Stories,Washington Examiner,Unavailable,,1.4,False,False
Want To Sweat Quickly?  Put On This Sauna Vest & Go For Run,https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=GMQQJ9FtKwr0W9hEqBdt4BjoVTeDVV3d9RGMUGhsL3g&evt=102&rid=c6fd6e0e3f7ae5ec9bfe219347ca1e1c&campaignid=1046340&impid=vlp-infopane-6&offerid=2735113&test=0&time=1632190162&cp=Cl-KZ5VB0OowZhYsZbsS7N95eau4BWasjQ1uaCJiSwM&clickid=21_c6fd6e0e3f7ae5ec9bfe219347ca1e1c_vlp-infopane-6&acid=200&trackingid=7394c973d1fd295e68e95317fdac3e70&uid=04D8FD8500826F882396ED3C01356E46&jt=2&url=9kZar00c_c05e2ga_p17ULb1nsvRDyAwsvKc7jJUzRWPyWjpfUkO4t5VqVcHldaMEdeqhvfFGSqdFKQwZaZUL0cIlC6n8A3zZhWUHf8jWf8BFe-q29HCiba7mkcaYtK68z467swA_J_ceOQwAOYIlXP8HzfMYCOhjIr6vmbG3PSozFRSmQVMcajiFnDetE0Y0oxwdgxYVeWF_bj9uXLjtM2wXZNsdqSgxpH_KogHB_i6lO1h8t27Pojy_p0yVQAx3E_9ECFUbwG6ZbiwetYlOAUi0g6Cp2QIPNI3LPaCd7JqJKr1ZxoQNHQMsnoTC5NBH9z8PUcvfY5jcXHfcD0WmU9snGjnGaANXYGTJP023a9My-WSG6GbF99Pbg83bLOvwuLua5J6hiM6HbL0Nl-o-w&bm=5&la=en&cn=us&cid=1093997&info=m48uPjOhf2cfVk0Kwh2v3mhucJT9Vqj6XCa3eGX9JA83H0GSr1RfeEIC4OFi02aQ,Top Stories,AdLovehots.com,Unavailable,,1.5,False,True
Bitcoin falls near $40k amid fears of China debt crisis,https://www.msn.com/en-us/news/technology/bitcoin-falls-near-40k-amid-fears-of-china-debt-crisis/ar-AAOEeoG?ocid=Peregrine,Top Stories,CNET,Unavailable,,1.6,False,False
Consultants sued over 2018 deaths of women in sheriff's van,https://www.msn.com/en-us/news/us/consultants-sued-over-2018-deaths-of-women-in-sheriff-s-van/ar-AAOElA0?ocid=Peregrine,Top Stories,Associated Press,Unavailable,,1.7,False,False
Missouri official asks court to suspend McCloskeys' gun licenses,https://www.msn.com/en-us/news/politics/missouri-official-asks-court-to-suspend-mccloskeys-gun-licenses/ar-AAOEcV0?ocid=Peregrine,Top Stories,The Hill,Unavailable,,1.8,False,False
Democrats set up showdown with GOP by attaching debt limit to bill to avert government shutdown,https://www.msn.com/en-us/news/politics/democrats-set-up-showdown-with-gop-by-attaching-debt-limit-to-bill-to-avert-government-shutdown/ar-AAODEtf?ocid=Peregrine,Top Stories,CNN,Unavailable,,1.9,False,False
"Amid official denials, Nicaraguans battle Covid surge",https://www.msn.com/en-us/news/world/amid-official-denials-nicaraguans-battle-covid-surge/ar-AAOEj8M?ocid=Peregrine,Top Stories,AFP,Unavailable,,1.10,False,False
"Former Rand Paul aide, pardoned by Trump, charged with funneling Russian money into 2016 election",https://www.msn.com/en-us/news/politics/former-rand-paul-aide-pardoned-by-trump-charged-with-funneling-russian-money-into-2016-election/ar-AAOEapd?ocid=Peregrine,Top Stories,Business Insider,Unavailable,,1.11,False,False
107-year-old twins from Japan are officially world’s oldest,https://www.msn.com/en-us/news/world/107-year-old-twins-from-japan-are-officially-world-s-oldest/ar-AAOEj2j?ocid=Peregrine,Top Stories,New York Daily News,Unavailable,,2.0,False,False
"Photos: Over 650,000 white flags commemorate pandemic's toll on the U.S.",https://www.msn.com/en-us/news/us/photos-over-650-000-white-flags-commemorate-pandemic-s-toll-on-the-u-s/ar-AAOEq2R?ocid=Peregrine,Top Stories,The LA Times,Unavailable,,3.0,False,False
Cleaner reveals how to make your bathroom sparkle every time,https://www.msn.com/en-us/news/technology/cleaner-reveals-how-to-make-your-bathroom-sparkle-every-time/ar-AAOEsJZ?ocid=Peregrine,Top Stories,Daily Mail,Unavailable,,4.0,False,False
‘Extremely troubling’: Investigation launched into border agents on horseback seen chasing migrants,https://www.msn.com/en-us/news/us/extremely-troubling-investigation-launched-into-border-agents-on-horseback-seen-chasing-migrants/ar-AAOElbG?ocid=Peregrine,Top Stories,POLITICO,Unavailable,,5.0,False,False
Disbarred Lawyer Files Suit Against Texas Doc Who Violated Abortion Ban,https://www.msn.com/en-us/news/us/disbarred-lawyer-files-suit-against-texas-doc-who-violated-abortion-ban/ar-AAOEakl?ocid=Peregrine,Top Stories,The Daily Beast,Unavailable,,6.0,False,False
Jay-Z's Team Roc suing police department for allegedly covering up misconduct,https://www.msn.com/en-us/news/crime/jay-z-s-team-roc-suing-police-department-for-allegedly-covering-up-misconduct/ar-AAODZz5?ocid=Peregrine,Top Stories,ABC News,Unavailable,,7.0,False,False
Psaki refuses to 'predict' if officials would be held accountable for Afghan drone strike,https://www.msn.com/en-us/news/us/psaki-refuses-to-predict-if-officials-would-be-held-accountable-for-afghan-drone-strike/ar-AAOEj1K?ocid=Peregrine,Top Stories,Newsweek,Unavailable,,8.0,False,False
COVID death toll in US eclipses 1918 influenza pandemic estimates,https://www.msn.com/en-us/health/medical/covid-death-toll-in-us-eclipses-1918-influenza-pandemic-estimates/ar-AAOE3va,Coronavirus,ABC News,Unavailable,,9.0,False,False
Rep. Tim Ryan becomes latest COVID-19 breakthrough case in Congress,https://www.msn.com/en-us/news/politics/rep-tim-ryan-becomes-latest-covid-19-breakthrough-case-in-congress/ar-AAODU8l,Coronavirus,The Hill,Unavailable,,11.0,False,False
NYC to double student COVID test frequency to once a week,https://www.msn.com/en-us/money/other/nyc-to-double-student-covid-test-frequency-to-once-a-week/ar-AAODBaY,Coronavirus,Bloomberg,Unavailable,,12.0,False,False
Gabby Petito update: FBI searches family home of fiancé Brian Laundrie after her likely remains were found,https://www.msn.com/en-us/news/us/gabby-petito-update-fbi-searches-family-home-of-fianc%C3%A9-brian-laundrie-after-her-likely-remains-were-found/ar-AAOCw7t,US,CNN,Unavailable,,13.0,False,False
Texas doctor sued after saying he defied state’s new abortion law,https://www.msn.com/en-us/news/us/texas-doctor-sued-after-saying-he-defied-state-s-new-abortion-law/ar-AAOE95Q,US,POLITICO,Unavailable,,14.0,False,False
Biden calls on U.S. Supreme Court to protect abortion rights,https://www.msn.com/en-us/news/us/biden-calls-on-u-s-supreme-court-to-protect-abortion-rights/ar-AAOEi2I,US,Reuters,Unavailable,,15.0,False,False
Puerto Rico’s progress still stalled four years after Maria,https://www.msn.com/en-us/news/us/puerto-rico-s-progress-still-stalled-four-years-after-maria/ar-AAOBjrH,US,NBC News,Unavailable,,16.0,False,False
Migrant surge continues to test authorities in south Texas,https://www.msn.com/en-us/news/us/migrant-surge-continues-to-test-authorities-in-south-texas/ar-AAOEdDR,US,ABC News,Unavailable,,17.0,False,False
EU official says Aussie trade deal delayed by French snub,https://www.msn.com/en-us/news/world/eu-official-says-aussie-trade-deal-delayed-by-french-snub/ar-AAOEj8P,World,Associated Press,Unavailable,,18.0,False,False
Canada election 2021: Trudeau seeks to fend off conservative rival in tight race,https://www.msn.com/en-us/news/world/canada-election-2021-trudeau-seeks-to-fend-off-conservative-rival-in-tight-race/ar-AAODLuP,World,CNN,Unavailable,,19.0,False,False
Buckle up: Cambodian students build manned drone to aid community,https://www.msn.com/en-us/news/world/buckle-up-cambodian-students-build-manned-drone-to-aid-community/ar-AAOElod,World,Reuters,Unavailable,,20.0,False,False
"The Dutch are the world's tallest people. But they're getting shorter, study shows",https://www.msn.com/en-us/news/world/the-dutch-are-the-world-s-tallest-people-but-they-re-getting-shorter-study-shows/ar-AAODBSj,World,USA TODAY,Unavailable,,21.0,False,False
Melbourne shuts construction sites after violent anti-vax protest,https://www.msn.com/en-us/news/world/melbourne-shuts-construction-sites-after-violent-anti-vax-protest/ar-AAOE9VW,World,AFP,Unavailable,,22.0,False,False
VA: LGTBQ veterans discharged over sexual orientation to get full benefits,https://www.msn.com/en-us/news/politics/va-lgtbq-veterans-discharged-over-sexual-orientation-to-get-full-benefits/ar-AAOE2zJ,Politics,The Hill,Unavailable,,23.0,False,False
Biden seeks to restore trust in U.S. leadership but faces fresh skepticism from allies,https://www.msn.com/en-us/news/politics/biden-seeks-to-open-a-new-chapter-in-world-affairs-facing-fresh-skepticism-from-allies/ar-AAOEbJF,Politics,The Washington Post,Unavailable,,24.0,False,False
"GOP operatives charged with funneling $25,000 from Russian citizen to Trump campaign in 2016",https://www.msn.com/en-us/news/politics/gop-operatives-charged-with-funneling-25-000-from-russian-citizen-to-trump-campaign-in-2016/ar-AAOEcDe,Politics,CNN,Unavailable,,25.0,False,False
Trump takes shot at new GOP candidate in Ohio over Cleveland nickname,https://www.msn.com/en-us/news/politics/trump-takes-shot-at-new-gop-candidate-in-ohio-over-cleveland-nickname/ar-AAOEi1F,Politics,The Hill,Unavailable,,26.0,False,False
GOP activists accused of 'straw donor' conspiracy to funnel Russian donation in 2016 election,https://www.msn.com/en-us/news/politics/gop-activists-accused-of-straw-donor-conspiracy-to-funnel-russian-donation-in-2016-election/ar-AAOEiMz,Politics,Washington Examiner,Unavailable,,27.0,False,False
FBI searches home of Gabby Petito's fiancé a day after body found,https://www.msn.com/en-us/news/crime/fbi-searches-home-of-gabby-petito-s-fianc%C3%A9-a-day-after-body-found/ar-AAOEiRn,Crime,CBS News,Unavailable,,28.0,False,False
Prince Andrew is served accuser's sexual assault lawsuit in United States -lawyers,https://www.msn.com/en-us/news/crime/prince-andrew-is-served-accuser-s-sexual-assault-lawsuit-in-united-states-lawyers/ar-AAOEa90,Crime,Reuters,Unavailable,,29.0,False,False
Judge sets March trial for 5 men in Michigan governor plot,https://www.msn.com/en-us/news/crime/judge-sets-march-trial-for-5-men-in-michigan-governor-plot/ar-AAOE55H,Crime,Associated Press,Unavailable,,30.0,False,False
"1 dead, at least 7 injured after shooting after S.C. shrimp festival",https://www.msn.com/en-us/news/crime/1-dead-at-least-7-injured-after-shooting-after-s-c-shrimp-festival/ar-AAOE9KA,Crime,New York Daily News,Unavailable,,31.0,False,False
Mother and Daughter Arrested for Murder After Allegedly Performing Illegal Plastic Surgery at Home,https://www.msn.com/en-us/news/crime/mother-and-daughter-arrested-for-murder-after-allegedly-performing-illegal-plastic-surgery-at-home/ar-AAOE9vz,Crime,People,Unavailable,,32.0,False,False
