article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
'Waiting is unbearable': Biden consoles Surfside families,https://www.msn.com/en-us/news/politics/waiting-is-unbearable-biden-consoles-surfside-families/ar-AALFgd0?ocid=BingNews,Top stories,Associated Press,Unavailable,23m,1.0,False,False
First rules to protect patients from unexpected medical bills issued by agencies,https://www.msn.com/en-us/news/us/first-rules-to-protect-patients-from-unexpected-medical-bills-issued-by-agencies/ar-AALFV2o?ocid=BingNews,Top stories,The Washington Post,Unavailable,18m,2.0,False,False
Trump Organization CFO Allen Weisselberg Surrenders to Authorities,https://www.msn.com/en-us/news/politics/trump-organization-cfo-allen-weisselberg-surrenders-to-authorities/ar-AALEFnE?ocid=BingNews,Top stories,The Wall Street Journal.,Unavailable,9h,3.0,False,False
Garland orders halt to any further federal executions,https://www.msn.com/en-us/news/crime/garland-orders-halt-to-any-further-federal-executions/ar-AALFXOn?ocid=BingNews,Top stories,ABC News,Unavailable,17m,4.0,False,False
How prosecutors say Allen Weisselberg hid nearly $1.8 million,https://www.msn.com/en-us/news/us/how-prosecutors-say-allen-weisselberg-hid-nearly-18-million/ar-AALFRZr?ocid=BingNews,Top stories,CBS News,Unavailable,1h,5.0,False,False
Trump Organization charged with tax fraud. For Donald Trump it's more a legal risk than a political one,https://www.msn.com/en-us/news/politics/trump-organization-charged-with-tax-fraud-for-donald-trump-its-more-a-legal-risk-than-a-political-one/ar-AALFKpm?ocid=BingNews,Top stories,USA TODAY,Unavailable,3h,6.0,False,False
130 countries agree to global minimum tax on large corporations,https://www.msn.com/en-us/money/markets/130-countries-agree-to-global-minimum-tax-on-large-corporations/ar-AALFBJN?ocid=BingNews,Top stories,CBS News,Unavailable,7h,7.0,False,False
"Democrats renew court packing calls, blast the Supreme Court's final two decisions of term",https://www.msn.com/en-us/news/politics/democrats-renew-court-packing-calls-blast-the-supreme-courts-final-two-decisions-of-term/ar-AALFU7q?ocid=BingNews,Top stories,FOX News,Unavailable,2h,8.0,False,False
Live updates: Supreme Court ends term upholding Arizona voting restrictions amid speculation about Breyer exit,https://www.msn.com/en-us/news/politics/live-updates-supreme-court-ends-term-upholding-arizona-voting-restrictions-amid-speculation-about-breyer-exit/ar-AALEJOr?ocid=BingNews,Top stories,The Washington Post,Unavailable,13h,9.0,False,False
"Arizona ballot recount: Arizona Republic takes state Senate, Cyber Ninjas to court for election audit records",https://www.msn.com/en-us/news/us/arizona-ballot-recount-arizona-republic-takes-state-senate-cyber-ninjas-to-court-for-election-audit-records/ar-AALFKuj?ocid=BingNews,Top stories,USA TODAY,Unavailable,6h,10.0,False,False
